EfficientNetV2S_lr0.0005_epochs10_bs32
epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7032853960990906,0.7976694703102112,0.17450560629367828,0.9426751732826233
2,0.13693077862262726,0.9661017060279846,0.07915088534355164,0.987261176109314
3,0.07867415249347687,0.9735169410705566,0.04280387610197067,0.9957537055015564
4,0.048738569021224976,0.9872881174087524,0.04487476870417595,0.9893842935562134
5,0.03554752469062805,0.992584764957428,0.040064722299575806,0.9893842935562134
6,0.0530436672270298,0.9862288236618042,0.029003949835896492,0.993630588054657
7,0.030787236988544464,0.9931144118309021,0.035568684339523315,0.9915074110031128
8,0.04747902229428291,0.9883474707603455,0.030998704954981804,0.9915074110031128
9,0.04850604012608528,0.9894067645072937,0.016278285533189774,0.9957537055015564
10,0.03503787890076637,0.9904661178588867,0.016674816608428955,0.9957537055015564
loss,accuracy
0.003856297116726637,1.0
Class,Precision,Recall,F1-Score,Support
acer_negundo,0.1,0.1,0.1,10.0
acer_palmatum,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
aesculus_pavi,0.0,0.0,0.0,7.0
asimina_triloba,0.0,0.0,0.0,10.0
cercis_canadensis,0.0,0.0,0.0,9.0
chionanthus_virginicus,0.0,0.0,0.0,9.0
gleditsia_triacanthos,0.125,0.125,0.125,8.0
ilex_opaca,0.0,0.0,0.0,11.0
liriodendron_tulipifera,0.1,0.1,0.1,10.0
ostrya_virginiana,0.1,0.1,0.1,10.0
prunus_sargentii,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
ptelea_trifoliata,0.0,0.0,0.0,11.0
quercus_montana,0.0,0.0,0.0,10.0
styrax_japonica,0.0,0.0,0.0,6.0
ulmus_pumila,0.0,0.0,0.0,6.0
macro avg,0.050555555555555555,0.050555555555555555,0.050555555555555555,129.0
weighted avg,0.046511627906976744,0.046511627906976744,0.046511627906976744,129.0
