Class,Precision,Recall,F1-Score,Support
acer_negundo,0.1,0.1,0.1,10.0
acer_palmatum,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
aesculus_pavi,0.0,0.0,0.0,7.0
asimina_triloba,0.0,0.0,0.0,10.0
cercis_canadensis,0.0,0.0,0.0,9.0
chionanthus_virginicus,0.0,0.0,0.0,9.0
gleditsia_triacanthos,0.125,0.125,0.125,8.0
ilex_opaca,0.0,0.0,0.0,11.0
liriodendron_tulipifera,0.1,0.1,0.1,10.0
ostrya_virginiana,0.1,0.1,0.1,10.0
prunus_sargentii,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
ptelea_trifoliata,0.0,0.0,0.0,11.0
quercus_montana,0.0,0.0,0.0,10.0
styrax_japonica,0.0,0.0,0.0,6.0
ulmus_pumila,0.0,0.0,0.0,6.0
macro avg,0.050555555555555555,0.050555555555555555,0.050555555555555555,129.0
weighted avg,0.046511627906976744,0.046511627906976744,0.046511627906976744,129.0
