Class,Precision,Recall,F1-Score,Support
Bluebell,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Buttercup,1.0,1.0,1.0,38.0
Coltsfoot,1.0,1.0,1.0,45.0
Cowslip,0.8823529411764706,1.0,0.9375,30.0
Crocus,0.9333333333333333,1.0,0.9655172413793104,42.0
Daffodil,0.96875,0.96875,0.96875,32.0
Daisy,1.0,1.0,1.0,44.0
Dandelion,1.0,1.0,1.0,50.0
Fritillary,1.0,1.0,1.0,48.0
Iris,1.0,1.0,1.0,35.0
Lilyvalley,1.0,0.9736842105263158,0.9866666666666667,38.0
Pansy,1.0,0.9302325581395349,0.963855421686747,43.0
Snowdrop,1.0,1.0,1.0,37.0
Sunflower,1.0,1.0,1.0,45.0
Tigerlily,1.0,0.9777777777777777,0.9887640449438202,45.0
Tulip,1.0,0.9487179487179487,0.9736842105263158,39.0
Windflower,1.0,1.0,1.0,45.0
macro avg,0.9853589965397923,0.9862252448134261,0.9853767206982075,686.0
weighted avg,0.9878580003429944,0.9868804664723032,0.9870027796454705,686.0
