Class,Precision,Recall,F1-Score,Support
Bluebell,0.90625,0.9666666666666667,0.9354838709677419,30.0
Buttercup,0.9743589743589743,1.0,0.987012987012987,38.0
Coltsfoot,1.0,0.9555555555555556,0.9772727272727273,45.0
Cowslip,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Crocus,0.9333333333333333,1.0,0.9655172413793104,42.0
Daffodil,1.0,0.90625,0.9508196721311475,32.0
Daisy,1.0,1.0,1.0,44.0
Dandelion,0.9615384615384616,1.0,0.9803921568627451,50.0
Fritillary,1.0,1.0,1.0,48.0
Iris,1.0,1.0,1.0,35.0
Lilyvalley,1.0,0.9210526315789473,0.958904109589041,38.0
Pansy,1.0,0.9523809523809523,0.975609756097561,42.0
Snowdrop,0.9487179487179487,0.9736842105263158,0.961038961038961,38.0
Sunflower,1.0,1.0,1.0,45.0
Tigerlily,1.0,1.0,1.0,44.0
Tulip,0.9512195121951219,0.975,0.9629629629629629,40.0
Windflower,1.0,1.0,1.0,45.0
macro avg,0.9789461704006182,0.9774856872573591,0.9777459477636382,686.0
weighted avg,0.9804520796525525,0.9795918367346939,0.9795886425809673,686.0
